"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q1927846","","","","","","Rio Grande Airport","Aeropuerto Internacional de Río Grande","aéroport international Gob. Ramón Trejo Noel","","","","","","エルメス・キハーダ国際空港","","","Port lotniczy Río Grande","Aeroporto Internacional Hermes Quijada","","Hermes Quijada International Airport","","Sân bay quốc tế Hermes Quijada",""
"Q1431737","","","","","Flughafen Kirkenes","Kirkenes Airport","Aeropuerto de Kirkenes-Høybuktmoen","aéroport de Kirkenes","","","","","","ヒルケネス","","Luchthaven Kirkenes Høybuktmoen","Port lotniczy Kirkenes","","Киркенес","Kirkenes flygplats","","Sân bay Kirkenes",""
"Q1431320","","","","","Fort St. John Airport","Fort St. John Airport","Aeropuerto de Fort Saint John","Aéroport de Fort St. John","","","","","","フォート・セント・ジョン","","","","","","Fort St. John Airport","","Sân bay Fort St. John",""
"Q1431221","","","","","Flughafen Diego Aracena","Diego Aracena International Airport","Aeropuerto Internacional Diego Aracena","aéroport d'Iquique","","","","Bandar Udara Internasional Diego Aracena","","ディエゴ・アラセナ国際空港","","Luchthaven Diego Aracena","Port lotniczy Diego Aracena","Aeroporto Internacional Diego Aracena","","Diego Aracena International Airport","","Sân bay quốc tế Diego Aracena",""
"Q1321142","","","","","Flughafen Lauro Carneiro De Loyola","Joinville-Lauro Carneiro de Loyola Airport","","","","","","","","ジョインビレ","","Luchthaven Joinville","","Aeroporto de Joinville","","Joinville","","Sân bay Joinville-Lauro Carneiro de Loyola",""
"Q555944","","","","","","Juana Azurduy de Padilla International Airport","Aeropuerto Juana Azurduy de Padilla","aéroport Juana Azurduy de Padilla","","","","Bandar Udara Internasional Juana Azurduy de Padilla","","フアナ・アスルドゥイ・デ・パディージャ国際空港","","Aeropuerto Juana Azurduy de Padilla","Port lotniczy Juana Azurduy de Padilla","Aeroporto Juana Azurduy de Padilla","","","","Sân bay quốc tế Juana Azurduy de Padilla",""
"Q482315","","","","","Amílcar Cabral International Airport","Amílcar Cabral International Airport","Aeropuerto Internacional Amílcar Cabral","aéroport international Amílcar Cabral","","","","Bandar Udara Internasional Amilcar Cabral","","アミルカル・カブラル国際空港","","Luchthaven Amílcar Cabral Internationaal","Port lotniczy Amílcar Cabral","Aeroporto Internacional Amílcar Cabral","Международный аэропорт имени Амилкара Кабрала","Amílcar Cabral flygplats","","","阿米尔卡·加布拉尔国际机场"
"Q8992","","","","","Flughafen Glasgow-Prestwick","Glasgow Prestwick Airport","Aeropuerto de Glasgow Prestwick","aéroport international de Glasgow Prestwick","","","","","Aeroporto di Glasgow-Prestwick","グラスゴー・プレストウィック国際空港","","Glasgow Prestwick Airport","Port lotniczy Glasgow-Prestwick","","Глазго Прествик","Glasgow Prestwick Airport","","","格拉斯哥普雷斯蒂克国际机场"
"Q166512","","","","","Flughafen Chuuk","Chuuk International Airport","Aeropuerto Internacional de Chuuk","aéroport international de Chuuk","","","","Bandar Udara Internasional Chuuk","Aeroporto Internazionale di Chuuk","チューク国際空港","추크 국제공항","Chuuk International Airport","Port lotniczy Chuuk","","","Chuuk International Airport","","","楚克國際機場"
"Q36460","","","مطار سير سيووساغور رامغولام الدولي","","Flughafen Mauritius","Sir Seewoosagur Ramgoolam International Airport","Aeropuerto Internacional Sir Seewoosagur Ramgoolam","aéroport international Sir Seewoosagur Ramgoolam","","सर शिवसागर रामगुलाम अन्तर्राष्ट्रीय विमानक्षेत्र","Sir Seewoosagur Ramgoolam nemzetközi repülőtér","Bandar Udara Internasional Sir Seewoosagur Ramgoolam","Aeroporto Internazionale Sir Seewoosagur Ramgoolam","サー・シウサガル・ラングーラム国際空港","시우 사구르 람룰람경 국제공항","Sir Seewoosagur Ramgoolam International Airport","Port lotniczy Mauritius","Aeroporto Internacional Sir Seewoosagur Ramgoolam","Международный аэропорт имени сэра Сивусагара Рамгулама","Sir Seewoosagur Ramgoolam International Airport","","Sân bay quốc tế Sir Seewoosagur Ramgoolam","西沃萨古尔·拉姆古兰爵士国际机场"
